age,job,marital,education,default,housing,loan,contact,campaign,poutcome,y
48,technician,single,tertiary,no,yes,no,cellular,2,other,no
47,admin.,married,secondary,no,yes,no,cellular,4,success,yes
54,management,married,tertiary,no,no,no,cellular,3,success,yes
64,retired,divorced,secondary,no,no,no,cellular,2,failure,no
30,technician,single,secondary,no,yes,no,cellular,1,failure,yes
72,retired,married,primary,no,no,no,cellular,2,success,yes
31,management,single,tertiary,no,yes,no,cellular,2,other,yes
31,unemployed,single,secondary,no,no,no,cellular,1,other,yes
28,technician,married,secondary,no,yes,no,cellular,6,failure,no
33,blue-collar,married,secondary,no,yes,no,cellular,1,other,no
57,blue-collar,married,primary,no,no,no,cellular,2,success,no
39,services,married,secondary,no,yes,yes,cellular,1,failure,no
35,blue-collar,single,secondary,no,yes,no,cellular,1,failure,yes
37,blue-collar,divorced,secondary,no,yes,no,cellular,4,failure,yes
40,blue-collar,married,primary,no,yes,no,cellular,3,failure,no
37,management,married,tertiary,no,yes,no,cellular,1,failure,yes
31,technician,single,secondary,no,no,no,cellular,1,success,no
55,admin.,married,secondary,no,no,no,cellular,1,success,no
40,technician,married,tertiary,no,no,no,cellular,3,success,no
35,technician,single,tertiary,no,no,no,cellular,4,success,yes
54,management,married,tertiary,no,no,no,cellular,2,failure,no
45,admin.,divorced,secondary,no,yes,no,cellular,1,other,no
59,technician,married,secondary,no,yes,no,cellular,1,failure,yes
47,technician,married,secondary,no,yes,no,cellular,1,failure,yes
27,blue-collar,single,secondary,no,no,no,cellular,1,success,no
30,blue-collar,married,primary,no,no,no,cellular,1,success,yes
43,blue-collar,married,primary,no,yes,no,cellular,1,failure,no
30,admin.,married,secondary,no,yes,yes,cellular,1,failure,no
27,management,single,tertiary,no,yes,no,cellular,1,other,yes
34,self-employed,married,tertiary,no,yes,no,cellular,1,failure,no
40,management,married,tertiary,no,yes,no,cellular,2,other,no
60,self-employed,married,tertiary,no,no,no,cellular,1,failure,no
31,management,married,tertiary,no,no,no,cellular,1,success,no
35,technician,married,secondary,no,no,no,cellular,1,other,yes
37,admin.,married,tertiary,no,yes,no,cellular,2,failure,no
41,self-employed,single,tertiary,no,yes,no,cellular,1,failure,yes
46,blue-collar,married,primary,no,yes,no,cellular,2,failure,no
37,technician,single,tertiary,no,yes,no,cellular,1,other,no
34,entrepreneur,married,secondary,no,yes,no,cellular,3,failure,no
54,management,married,tertiary,no,no,no,cellular,2,success,no
51,blue-collar,divorced,secondary,no,yes,no,cellular,1,failure,no
29,management,single,tertiary,no,yes,no,cellular,1,success,yes
26,admin.,single,secondary,no,no,no,cellular,1,failure,yes
57,blue-collar,married,primary,no,no,no,cellular,2,success,yes
38,technician,married,secondary,no,yes,no,cellular,1,failure,no
33,admin.,single,secondary,no,yes,no,cellular,3,other,no
57,management,married,tertiary,no,yes,no,cellular,2,failure,no
23,student,single,secondary,no,no,no,cellular,1,success,no
47,admin.,married,secondary,no,no,no,cellular,1,success,yes
29,blue-collar,single,secondary,no,yes,yes,cellular,1,other,no
80,retired,married,secondary,no,no,no,telephone,1,failure,yes
37,management,married,tertiary,no,yes,no,cellular,1,failure,no
30,management,divorced,tertiary,no,yes,yes,cellular,1,failure,yes
34,housemaid,married,tertiary,no,no,no,cellular,1,failure,no
52,technician,married,tertiary,no,no,no,cellular,3,success,no
40,admin.,married,secondary,no,yes,no,cellular,1,failure,yes
26,technician,single,tertiary,no,no,no,cellular,2,other,no
58,admin.,married,secondary,no,no,no,cellular,1,success,yes
28,technician,single,secondary,no,no,no,cellular,1,failure,yes
35,management,single,tertiary,no,no,no,cellular,2,failure,yes
34,admin.,single,secondary,no,no,yes,cellular,3,success,no
41,blue-collar,divorced,primary,no,yes,no,cellular,2,failure,no
72,retired,married,secondary,no,no,no,cellular,1,success,no
42,blue-collar,married,secondary,yes,yes,no,cellular,1,failure,no
26,admin.,married,tertiary,no,no,no,cellular,1,success,yes
28,self-employed,single,secondary,no,no,yes,cellular,3,other,no
40,services,divorced,secondary,no,yes,no,cellular,2,failure,no
28,admin.,married,secondary,no,yes,no,cellular,1,other,no
33,management,single,tertiary,no,yes,no,cellular,2,failure,yes
32,management,married,tertiary,no,yes,no,cellular,1,failure,no
31,unemployed,married,secondary,no,yes,no,cellular,3,failure,yes
40,technician,married,tertiary,no,no,no,cellular,6,success,yes
57,housemaid,married,secondary,no,no,no,telephone,1,other,no
72,retired,married,primary,no,no,no,telephone,1,success,no
43,admin.,single,secondary,no,yes,no,cellular,3,other,yes
58,retired,divorced,primary,no,no,no,telephone,1,success,no
34,admin.,single,secondary,no,yes,no,cellular,1,failure,no
35,management,single,tertiary,no,no,no,cellular,3,other,yes
30,management,single,tertiary,no,yes,no,cellular,1,other,no
42,technician,married,tertiary,no,no,no,cellular,1,success,yes
54,self-employed,divorced,tertiary,no,no,no,cellular,1,failure,no
36,management,single,tertiary,no,no,no,cellular,1,failure,yes
29,technician,single,secondary,no,no,no,cellular,2,success,yes
68,retired,single,tertiary,no,no,no,cellular,1,success,yes
37,services,married,secondary,no,yes,no,cellular,1,success,yes
34,management,married,secondary,no,yes,no,cellular,1,failure,no
39,technician,single,tertiary,no,yes,no,cellular,1,success,no
57,retired,married,secondary,no,yes,no,cellular,2,failure,no
31,admin.,married,secondary,no,yes,no,cellular,1,success,no
25,blue-collar,single,secondary,no,yes,no,cellular,4,success,yes
27,blue-collar,single,tertiary,no,no,no,cellular,2,success,yes
43,services,married,secondary,no,no,no,cellular,1,success,yes
40,admin.,divorced,secondary,no,yes,no,cellular,2,failure,no
40,services,married,secondary,no,yes,no,cellular,8,failure,yes
39,management,married,tertiary,no,no,no,cellular,3,other,yes
38,housemaid,divorced,secondary,no,no,no,cellular,4,success,yes
49,services,married,secondary,no,yes,no,cellular,2,failure,yes
57,technician,divorced,secondary,no,yes,yes,cellular,3,failure,no
35,self-employed,married,tertiary,no,yes,no,cellular,1,failure,no
59,admin.,married,secondary,no,yes,no,cellular,3,success,yes
30,management,married,tertiary,no,no,no,cellular,1,failure,no
50,technician,divorced,secondary,no,no,no,cellular,2,other,no
35,self-employed,married,tertiary,no,no,no,cellular,3,success,no
50,technician,divorced,secondary,no,no,no,cellular,1,success,yes
39,self-employed,single,tertiary,no,yes,yes,cellular,2,other,no
43,technician,married,tertiary,no,yes,yes,cellular,1,failure,no
47,blue-collar,married,secondary,no,yes,no,cellular,1,other,yes
48,unemployed,divorced,secondary,no,no,no,cellular,1,success,yes
38,technician,single,secondary,no,yes,yes,cellular,2,other,no
34,technician,married,tertiary,no,yes,no,cellular,3,other,yes
24,student,single,secondary,no,no,no,cellular,11,success,yes
56,blue-collar,married,secondary,no,yes,yes,cellular,1,failure,no
32,management,married,tertiary,no,no,no,cellular,1,other,no
48,technician,married,secondary,no,yes,no,cellular,1,failure,no
47,blue-collar,married,secondary,no,yes,no,cellular,1,success,yes
33,services,single,secondary,no,yes,no,cellular,2,failure,no
38,blue-collar,married,secondary,no,yes,no,cellular,4,other,no
27,student,single,tertiary,no,yes,no,cellular,1,success,no
25,management,single,tertiary,no,no,no,cellular,2,failure,yes
45,services,married,secondary,no,yes,no,cellular,2,failure,no
26,student,single,secondary,no,no,no,cellular,1,success,yes
55,technician,divorced,tertiary,no,no,no,cellular,2,success,yes
31,management,single,tertiary,no,yes,no,telephone,3,failure,yes
24,technician,single,secondary,yes,yes,no,cellular,1,other,no
55,blue-collar,married,primary,no,yes,no,cellular,1,failure,no
45,technician,divorced,secondary,no,no,no,cellular,2,failure,no
56,management,married,tertiary,no,yes,no,cellular,1,other,no
36,blue-collar,single,secondary,no,yes,no,cellular,3,success,yes
35,management,single,tertiary,no,yes,no,cellular,1,failure,no
28,student,single,secondary,no,no,no,cellular,1,success,no
49,technician,married,secondary,no,yes,no,cellular,3,success,no
34,admin.,married,tertiary,no,no,yes,cellular,3,success,yes
34,blue-collar,married,secondary,no,yes,yes,cellular,1,other,no
52,technician,married,secondary,no,yes,yes,cellular,1,failure,yes
56,management,divorced,tertiary,no,no,no,cellular,1,success,no
74,retired,married,tertiary,no,no,no,cellular,2,success,no
30,admin.,single,secondary,no,yes,no,cellular,3,failure,yes
37,blue-collar,married,primary,no,yes,no,cellular,3,other,no
55,management,divorced,tertiary,no,no,no,cellular,2,failure,no
37,technician,married,secondary,no,yes,no,cellular,1,failure,no
46,management,single,tertiary,no,no,no,cellular,1,failure,no
35,blue-collar,single,primary,no,no,no,cellular,2,failure,yes
37,unemployed,married,secondary,no,no,no,cellular,1,success,no
31,technician,single,secondary,no,no,no,cellular,3,failure,no
36,unemployed,single,tertiary,no,no,no,cellular,1,success,yes
38,services,married,tertiary,no,yes,no,cellular,1,failure,no
36,management,single,tertiary,no,no,no,cellular,3,failure,no
38,blue-collar,married,secondary,no,yes,no,telephone,1,failure,no
37,technician,married,secondary,no,no,no,cellular,1,other,no
26,services,single,secondary,no,yes,no,cellular,2,failure,no
46,blue-collar,married,secondary,no,yes,yes,cellular,2,failure,no
50,management,married,secondary,no,yes,no,cellular,1,failure,no
32,unemployed,married,secondary,no,yes,no,cellular,6,success,yes
37,management,married,tertiary,no,yes,no,cellular,5,other,no
69,retired,married,primary,no,no,no,cellular,1,success,no
35,management,married,tertiary,no,yes,yes,cellular,2,failure,no
30,management,single,tertiary,no,yes,yes,cellular,1,failure,yes
58,management,married,secondary,no,no,yes,cellular,2,success,yes
34,entrepreneur,married,secondary,no,yes,no,cellular,1,failure,yes
46,management,married,tertiary,no,yes,yes,cellular,1,failure,no
25,blue-collar,single,primary,no,yes,no,cellular,2,failure,no
48,services,divorced,secondary,no,yes,no,cellular,3,other,yes
57,retired,married,secondary,no,no,no,telephone,1,success,yes
39,technician,divorced,secondary,no,no,no,cellular,1,failure,no
59,retired,married,secondary,no,no,no,cellular,1,failure,no
29,management,single,tertiary,no,no,no,cellular,2,success,yes
36,blue-collar,single,secondary,no,yes,no,cellular,1,other,yes
33,technician,single,tertiary,no,yes,yes,cellular,2,failure,yes
38,self-employed,divorced,tertiary,no,no,no,cellular,1,failure,no
28,admin.,married,secondary,no,yes,yes,cellular,2,failure,no
37,services,married,primary,no,yes,no,cellular,1,success,no
48,admin.,single,secondary,no,yes,no,cellular,2,failure,no
56,management,divorced,tertiary,no,no,no,cellular,2,other,no
33,management,married,tertiary,no,yes,no,cellular,1,failure,no
31,management,single,secondary,no,yes,no,cellular,1,failure,no
42,blue-collar,married,primary,no,yes,no,cellular,2,failure,yes
86,retired,married,primary,no,no,no,cellular,2,success,yes
37,management,divorced,tertiary,no,yes,no,cellular,1,failure,yes
33,admin.,single,secondary,no,yes,no,cellular,2,failure,no
52,management,married,tertiary,no,yes,no,cellular,1,other,no
38,services,married,secondary,no,yes,yes,cellular,2,failure,no
60,retired,divorced,secondary,no,no,no,cellular,1,other,yes
53,blue-collar,married,secondary,no,no,no,cellular,1,failure,yes
31,management,single,tertiary,no,yes,no,cellular,1,success,no
41,management,divorced,tertiary,no,no,no,cellular,2,failure,yes
49,management,married,tertiary,no,no,no,telephone,2,success,yes
60,retired,divorced,tertiary,no,yes,no,cellular,3,failure,yes
37,management,married,secondary,no,no,no,cellular,1,success,yes
30,blue-collar,single,secondary,no,yes,no,cellular,3,other,no
25,student,single,secondary,no,no,no,cellular,2,other,no
35,management,single,tertiary,no,no,no,cellular,1,success,yes
34,management,married,tertiary,no,no,no,cellular,1,failure,yes
36,technician,divorced,secondary,no,yes,yes,cellular,1,other,yes
33,admin.,married,secondary,no,yes,no,cellular,1,failure,no
52,admin.,divorced,secondary,no,yes,no,cellular,1,failure,no
23,student,single,secondary,no,no,no,telephone,3,other,yes
23,student,single,secondary,no,no,no,cellular,5,success,yes
37,admin.,married,secondary,no,no,no,cellular,1,success,yes
70,management,married,secondary,no,no,no,cellular,5,failure,yes
26,management,single,tertiary,no,no,no,cellular,2,success,yes
58,management,married,tertiary,no,no,no,cellular,1,success,yes
50,services,married,primary,no,yes,yes,cellular,1,other,yes
28,student,single,secondary,no,no,no,cellular,3,other,no
27,self-employed,married,tertiary,no,yes,no,cellular,3,failure,no
32,student,married,secondary,no,yes,no,telephone,5,other,no
43,admin.,married,secondary,no,no,yes,cellular,2,failure,no
48,admin.,divorced,secondary,no,yes,no,cellular,1,failure,no
37,management,married,tertiary,no,yes,no,cellular,5,failure,yes
27,admin.,single,tertiary,no,yes,no,cellular,2,failure,no
43,management,divorced,tertiary,no,yes,no,cellular,1,failure,yes
35,entrepreneur,married,tertiary,no,yes,no,cellular,2,failure,yes
37,admin.,married,secondary,no,yes,yes,cellular,1,failure,no
40,management,single,secondary,no,yes,no,cellular,1,failure,no
47,management,married,tertiary,no,yes,no,cellular,2,failure,no
33,technician,married,tertiary,no,no,no,cellular,1,success,yes
44,management,married,secondary,no,yes,no,cellular,1,failure,yes
57,management,divorced,tertiary,no,no,no,cellular,2,success,yes
31,services,married,secondary,no,yes,yes,cellular,3,other,no
31,services,single,secondary,no,no,no,cellular,1,success,no
33,blue-collar,married,secondary,no,yes,no,cellular,2,failure,no
28,technician,single,secondary,no,no,no,cellular,1,failure,no
54,technician,married,secondary,no,no,no,telephone,3,success,yes
31,blue-collar,married,primary,no,yes,no,cellular,2,other,yes
34,admin.,married,secondary,no,yes,no,cellular,1,failure,yes
27,student,single,secondary,no,yes,no,cellular,1,failure,yes
33,management,married,tertiary,no,yes,no,cellular,2,success,no
29,admin.,single,secondary,no,no,no,cellular,1,other,no
33,blue-collar,single,primary,no,yes,no,cellular,1,failure,no
31,management,single,tertiary,no,no,no,cellular,1,success,no
31,unemployed,married,tertiary,no,no,no,cellular,1,success,yes
36,admin.,single,secondary,no,yes,no,cellular,1,other,no
38,technician,single,tertiary,no,yes,no,cellular,7,failure,no
46,technician,married,primary,no,yes,no,cellular,2,failure,yes
62,retired,married,secondary,no,no,no,cellular,1,success,yes
34,management,married,secondary,yes,yes,no,cellular,1,failure,yes
35,services,single,secondary,no,no,no,cellular,2,other,no
38,technician,married,secondary,no,yes,yes,cellular,2,failure,no
32,admin.,single,secondary,no,yes,no,cellular,1,other,no
23,technician,single,secondary,no,yes,no,cellular,2,failure,yes
35,management,married,tertiary,no,no,no,cellular,1,other,no
37,management,married,tertiary,no,no,no,cellular,2,success,yes
38,management,married,tertiary,no,no,no,cellular,1,failure,yes
42,blue-collar,married,primary,no,yes,no,cellular,2,failure,no
48,unemployed,married,secondary,no,no,no,cellular,1,success,yes
38,unemployed,married,primary,no,yes,no,cellular,1,failure,yes
52,admin.,married,secondary,no,no,no,cellular,2,failure,no
34,technician,married,secondary,no,yes,no,cellular,2,failure,no
66,retired,married,primary,no,no,no,cellular,1,failure,yes
29,technician,single,tertiary,no,yes,no,cellular,3,other,no
41,services,married,primary,no,yes,no,cellular,1,failure,no
38,self-employed,married,secondary,no,yes,no,cellular,2,failure,no
53,management,divorced,tertiary,no,yes,no,cellular,1,failure,yes
33,management,married,tertiary,no,no,no,cellular,2,failure,yes
33,admin.,single,secondary,no,yes,no,telephone,3,failure,no
56,unemployed,married,secondary,no,no,yes,cellular,2,failure,no
64,retired,married,secondary,no,no,no,cellular,1,failure,yes
30,management,single,tertiary,no,no,no,cellular,3,success,yes
37,technician,single,secondary,no,no,yes,cellular,3,failure,no
60,self-employed,married,secondary,no,yes,yes,cellular,4,other,no
36,management,married,tertiary,no,yes,no,cellular,1,other,yes
38,technician,married,secondary,no,no,no,cellular,1,failure,no
34,management,married,tertiary,no,no,no,cellular,3,success,no
33,management,single,tertiary,no,no,yes,cellular,1,failure,yes
54,management,divorced,secondary,no,yes,no,cellular,1,success,yes
37,management,married,tertiary,no,no,no,cellular,2,failure,no
26,student,single,tertiary,no,yes,no,cellular,1,failure,yes
33,blue-collar,married,primary,no,yes,no,cellular,1,failure,yes
33,management,married,tertiary,no,yes,no,cellular,1,success,yes
47,blue-collar,married,secondary,no,no,no,cellular,2,other,yes
47,blue-collar,married,primary,no,yes,no,cellular,2,failure,no
47,services,married,secondary,no,yes,no,cellular,1,success,no
31,admin.,single,secondary,no,no,no,cellular,1,success,yes
64,retired,married,secondary,no,no,no,cellular,1,success,yes
61,self-employed,married,tertiary,no,no,no,cellular,2,success,yes
33,admin.,divorced,secondary,no,yes,no,cellular,4,failure,no
49,blue-collar,married,primary,no,yes,no,cellular,2,failure,no
44,management,married,secondary,no,no,no,cellular,1,other,no
43,management,married,tertiary,no,yes,yes,cellular,1,failure,no
37,housemaid,single,tertiary,no,no,no,cellular,1,failure,no
47,admin.,married,secondary,no,no,no,cellular,1,failure,yes
30,blue-collar,married,secondary,no,yes,yes,cellular,2,failure,no
37,admin.,single,secondary,no,no,no,cellular,1,other,no
33,services,married,secondary,no,yes,no,cellular,6,other,no
42,management,married,tertiary,no,no,yes,telephone,3,failure,no
43,blue-collar,married,primary,no,yes,no,cellular,4,failure,no
47,housemaid,married,secondary,no,yes,no,cellular,3,failure,yes
46,blue-collar,married,primary,no,yes,yes,cellular,2,other,yes
39,services,married,secondary,no,yes,no,cellular,2,failure,yes
27,admin.,single,secondary,no,no,no,telephone,4,other,yes
37,unemployed,single,tertiary,no,no,no,cellular,1,success,no
48,services,divorced,secondary,no,yes,no,cellular,1,other,yes
31,student,single,tertiary,no,no,no,cellular,3,failure,yes
40,technician,married,secondary,no,yes,yes,cellular,1,failure,no
47,management,single,tertiary,no,yes,no,cellular,3,success,yes
37,admin.,married,secondary,no,yes,no,cellular,1,other,no
37,services,divorced,secondary,no,yes,no,cellular,2,other,no
37,technician,single,secondary,no,yes,no,cellular,11,failure,yes
41,technician,single,tertiary,no,yes,no,cellular,3,success,yes
39,self-employed,married,secondary,no,yes,no,cellular,2,failure,no
34,admin.,married,tertiary,no,no,yes,cellular,1,failure,yes
33,management,married,tertiary,no,no,no,cellular,2,success,no
46,admin.,married,tertiary,no,no,no,cellular,1,success,yes
42,admin.,single,secondary,no,yes,yes,telephone,1,other,yes
34,blue-collar,married,primary,no,yes,no,cellular,2,failure,no
33,blue-collar,married,secondary,no,yes,no,cellular,2,failure,no
48,services,married,secondary,no,yes,no,cellular,1,failure,no
36,management,single,tertiary,no,no,no,cellular,8,failure,yes
34,management,single,tertiary,no,no,no,cellular,1,success,yes
45,admin.,married,primary,no,yes,yes,cellular,2,other,no
49,technician,married,secondary,no,no,no,cellular,1,success,yes
40,technician,married,secondary,no,no,no,cellular,3,other,yes
47,admin.,single,secondary,no,yes,yes,cellular,2,failure,no
29,self-employed,single,tertiary,no,no,no,cellular,1,success,no
32,technician,single,tertiary,no,yes,no,cellular,1,success,yes
40,housemaid,married,primary,no,yes,no,cellular,1,failure,no
39,services,married,secondary,no,no,no,cellular,1,failure,no
45,management,divorced,tertiary,no,yes,no,cellular,1,failure,no
32,services,married,secondary,no,yes,no,cellular,1,failure,no
51,management,single,tertiary,no,yes,no,cellular,4,failure,yes
50,management,married,tertiary,no,no,no,cellular,2,other,no
41,services,married,secondary,no,yes,no,cellular,3,failure,no
48,management,married,tertiary,no,no,no,cellular,1,success,yes
35,technician,divorced,secondary,no,yes,no,cellular,4,failure,yes
68,retired,married,secondary,no,no,no,cellular,1,success,yes
32,entrepreneur,married,secondary,no,no,no,cellular,1,failure,yes
30,management,single,tertiary,no,no,no,cellular,3,success,no
33,technician,married,secondary,no,yes,no,cellular,1,failure,no
45,management,divorced,tertiary,no,yes,no,cellular,1,failure,no
32,technician,single,secondary,no,yes,no,cellular,1,failure,yes
31,self-employed,married,tertiary,no,no,no,telephone,2,other,yes
34,unemployed,single,tertiary,no,no,no,cellular,1,success,yes
37,technician,married,secondary,no,yes,no,cellular,1,other,yes
41,services,single,primary,no,yes,no,cellular,1,failure,no
35,entrepreneur,married,secondary,no,no,no,cellular,4,failure,yes
46,management,divorced,tertiary,no,yes,no,cellular,1,other,yes
45,unemployed,divorced,secondary,no,yes,yes,cellular,2,failure,no
30,technician,single,secondary,no,no,no,cellular,1,failure,no
43,technician,married,tertiary,no,no,no,cellular,3,success,yes
60,retired,married,secondary,no,no,no,cellular,1,success,yes
27,admin.,married,secondary,no,no,no,cellular,2,success,yes
50,management,married,tertiary,no,no,no,cellular,1,failure,no
29,services,single,secondary,no,yes,no,cellular,2,failure,yes
31,admin.,single,secondary,no,no,no,cellular,4,failure,yes
37,management,single,tertiary,no,yes,no,cellular,6,other,no
54,management,married,tertiary,no,no,no,cellular,2,success,yes
28,student,single,secondary,no,no,no,cellular,1,failure,no
46,admin.,single,secondary,no,yes,no,cellular,1,success,no
34,technician,married,tertiary,no,no,no,cellular,3,other,no
34,technician,single,secondary,no,yes,no,cellular,1,failure,no
33,blue-collar,married,secondary,no,yes,yes,cellular,3,failure,yes
33,management,single,tertiary,no,yes,no,cellular,1,success,yes
37,management,married,tertiary,no,no,no,cellular,1,success,yes
33,management,single,tertiary,no,yes,yes,cellular,1,failure,no
59,management,married,tertiary,no,no,no,cellular,1,failure,no
42,management,married,primary,no,yes,no,cellular,3,failure,yes
58,management,married,tertiary,no,no,no,cellular,1,other,yes
41,blue-collar,divorced,secondary,no,yes,no,cellular,2,failure,no
27,student,single,tertiary,no,no,no,cellular,1,success,yes
58,management,divorced,tertiary,no,no,no,cellular,1,success,no
36,self-employed,single,tertiary,no,no,no,cellular,2,success,yes
39,technician,married,tertiary,no,no,no,cellular,2,success,yes
31,admin.,divorced,secondary,no,yes,no,cellular,7,other,no
29,admin.,single,secondary,no,no,no,cellular,2,success,yes
30,services,married,secondary,no,yes,no,cellular,3,failure,no
49,admin.,married,secondary,no,yes,no,cellular,1,success,yes
43,technician,single,secondary,yes,yes,no,cellular,1,failure,yes
43,management,divorced,tertiary,no,no,no,cellular,2,success,yes
59,technician,married,secondary,no,no,no,telephone,2,other,no
33,management,single,tertiary,no,yes,no,telephone,2,other,yes
27,self-employed,single,tertiary,no,no,no,telephone,9,failure,yes
32,technician,married,secondary,no,yes,no,cellular,1,failure,yes
41,services,married,secondary,no,yes,no,cellular,4,failure,no
40,unemployed,single,tertiary,no,no,no,cellular,2,success,yes
30,management,single,tertiary,no,yes,no,cellular,2,other,no
55,blue-collar,divorced,secondary,no,yes,no,cellular,1,failure,yes
26,student,single,secondary,no,no,no,cellular,1,success,yes
44,management,married,tertiary,no,yes,yes,cellular,2,failure,no
41,entrepreneur,married,primary,no,no,no,cellular,2,other,yes
63,retired,divorced,tertiary,no,no,no,cellular,1,success,yes
29,management,single,secondary,no,yes,no,cellular,1,success,yes
62,retired,married,secondary,no,no,no,cellular,2,success,yes
72,retired,married,secondary,no,no,no,cellular,1,success,yes
40,technician,married,tertiary,no,yes,no,cellular,2,failure,yes
64,management,married,tertiary,no,no,no,telephone,7,other,yes
37,technician,married,secondary,no,yes,no,cellular,1,failure,no
60,housemaid,married,primary,no,no,no,cellular,2,failure,no
29,technician,single,secondary,no,yes,no,cellular,3,failure,no
31,technician,single,secondary,no,no,no,cellular,1,other,yes
49,admin.,single,tertiary,no,yes,no,cellular,2,success,yes
79,retired,married,secondary,no,no,no,cellular,2,success,yes
28,admin.,married,secondary,no,no,no,cellular,1,other,no
43,management,single,tertiary,no,yes,no,cellular,2,failure,no
48,blue-collar,single,secondary,no,no,no,cellular,1,other,no
62,management,married,secondary,no,no,no,cellular,1,other,no
43,services,married,secondary,no,no,no,cellular,2,success,yes
53,management,divorced,secondary,no,yes,no,cellular,2,failure,no
48,admin.,married,secondary,no,no,no,cellular,2,failure,no
32,admin.,married,tertiary,no,yes,yes,cellular,1,other,no
48,blue-collar,married,secondary,no,no,no,cellular,1,success,yes
53,management,married,secondary,no,no,no,cellular,1,failure,no
31,blue-collar,single,secondary,no,yes,no,cellular,1,failure,no
43,management,divorced,tertiary,no,no,no,cellular,1,failure,no
40,services,divorced,secondary,no,yes,no,cellular,1,success,yes
62,housemaid,married,tertiary,no,no,no,cellular,2,success,yes
36,blue-collar,married,secondary,no,yes,no,cellular,1,failure,no
33,blue-collar,married,secondary,no,yes,no,cellular,3,other,no
45,services,divorced,secondary,no,yes,yes,cellular,3,failure,no
30,student,single,tertiary,no,no,no,cellular,1,failure,no
26,services,single,tertiary,no,no,no,cellular,1,failure,no
55,management,married,primary,no,no,no,cellular,1,failure,yes
34,technician,married,secondary,no,yes,no,cellular,1,other,yes
25,admin.,single,secondary,no,no,no,cellular,1,success,yes
53,services,married,secondary,no,no,no,cellular,1,failure,yes
40,blue-collar,married,secondary,no,yes,yes,cellular,3,other,no
28,management,single,secondary,no,yes,no,cellular,2,failure,no
36,services,married,secondary,no,yes,no,cellular,2,other,no
36,admin.,divorced,secondary,no,no,no,cellular,2,failure,yes
37,technician,divorced,secondary,no,yes,no,cellular,1,other,no
34,technician,married,secondary,no,yes,no,cellular,2,failure,no
32,student,single,tertiary,no,no,no,cellular,5,other,yes
50,management,married,tertiary,no,no,no,cellular,1,failure,no
37,blue-collar,married,primary,no,yes,no,cellular,1,failure,yes
41,admin.,married,tertiary,no,no,no,cellular,1,failure,yes
35,unemployed,single,tertiary,no,no,no,cellular,2,success,no
38,management,single,tertiary,no,no,no,cellular,4,success,yes
40,services,divorced,secondary,no,yes,no,cellular,1,failure,no
24,student,single,secondary,no,no,no,cellular,1,success,yes
31,management,married,tertiary,no,yes,no,cellular,2,failure,no
37,blue-collar,married,secondary,no,yes,no,cellular,1,failure,yes
48,management,divorced,tertiary,no,yes,no,cellular,5,failure,no
37,services,married,secondary,no,no,no,cellular,2,success,yes
36,admin.,divorced,tertiary,no,no,no,cellular,1,failure,yes
33,management,single,tertiary,no,no,no,cellular,1,success,yes
31,unemployed,single,tertiary,no,no,no,cellular,1,success,yes
36,services,single,secondary,no,yes,yes,cellular,5,failure,yes
58,retired,married,secondary,no,no,no,cellular,1,failure,yes
79,retired,divorced,primary,no,no,no,telephone,1,success,yes
36,management,single,tertiary,no,no,no,cellular,1,failure,yes
22,student,single,secondary,no,no,no,telephone,1,failure,yes
44,entrepreneur,married,tertiary,no,yes,no,cellular,1,failure,no
34,management,single,tertiary,no,yes,no,cellular,1,other,no
61,retired,married,tertiary,no,yes,no,cellular,3,success,no
22,student,single,secondary,no,no,no,cellular,1,success,yes
37,admin.,married,secondary,no,yes,no,cellular,4,failure,yes
31,blue-collar,married,secondary,no,yes,no,cellular,2,failure,yes
47,management,married,tertiary,no,no,no,cellular,3,success,no
43,self-employed,married,secondary,no,no,no,cellular,5,failure,no
39,services,married,secondary,no,no,no,cellular,2,failure,yes
36,technician,married,tertiary,no,no,no,cellular,2,success,yes
34,management,single,tertiary,no,no,no,cellular,1,failure,no
63,entrepreneur,married,secondary,no,no,no,telephone,2,success,yes
39,technician,married,secondary,no,yes,no,cellular,2,other,yes
38,management,single,tertiary,no,yes,yes,cellular,1,failure,no
26,admin.,single,secondary,no,yes,no,cellular,2,other,no
38,management,married,tertiary,no,no,no,cellular,1,success,yes
46,management,married,tertiary,no,no,no,cellular,4,success,yes
40,management,married,tertiary,no,yes,no,cellular,1,failure,no
48,admin.,divorced,secondary,no,yes,yes,cellular,1,failure,yes
46,self-employed,divorced,tertiary,no,yes,no,cellular,2,other,no
44,services,divorced,secondary,no,yes,no,cellular,1,failure,no
35,blue-collar,single,secondary,no,yes,no,cellular,1,other,yes
28,admin.,married,secondary,no,no,no,cellular,2,success,yes
47,management,married,tertiary,no,no,no,cellular,2,success,no
39,admin.,single,secondary,no,yes,no,telephone,8,other,yes
54,technician,married,tertiary,no,no,no,cellular,3,success,no
56,technician,married,secondary,no,yes,no,cellular,3,failure,yes
25,student,single,secondary,no,no,no,cellular,1,success,yes
50,technician,married,secondary,no,yes,no,cellular,1,other,no
52,services,married,secondary,no,no,yes,cellular,1,failure,yes
60,technician,married,secondary,no,no,no,cellular,1,success,yes
33,management,single,tertiary,no,no,no,cellular,1,failure,no
25,services,single,secondary,no,no,no,cellular,2,other,no
32,admin.,married,secondary,no,yes,no,cellular,1,other,no
